# ID	stage	class    health gates. signal is reported and never gates.
ATT.1	stage-00-attestations	health
ATT.2	stage-00-attestations	health
ATT.3	stage-00-attestations	health
ATT.4	stage-00-attestations	health
ATT.5	stage-00-attestations	health
ATT.6	stage-00-attestations	health
BK.1	stage-06-backup	health
BK.2	stage-06-backup	health
BK.3	stage-06-backup	health
BK.4	stage-06-backup	health
BK.5	stage-06-backup	health
BK.6	stage-06-backup	health
BK.7	stage-06-backup	health
BK.8	stage-06-backup	health
CRON.1	stage-11-vps	health
CRON.2	stage-11-vps	health
CRON.3	stage-11-vps	health
CTR.1	stage-02-container	health
CTR.10	stage-02-container	health
CTR.11	stage-02-container	health
CTR.12	stage-02-container	health
CTR.13	stage-02-container	health
CTR.14	stage-02-container	health
CTR.2	stage-02-container	health
CTR.3	stage-02-container	health
CTR.4	stage-02-container	health
CTR.5	stage-02-container	health
CTR.6	stage-02-container	health
CTR.7	stage-02-container	health
CTR.8	stage-02-container	health
CTR.9	stage-02-container	health
DATA.1	stage-04-data	health
DATA.2	stage-04-data	health
DATA.3	stage-04-data	health
DATA.4	stage-04-data	health
DATA.5	stage-04-data	health
DATA.6	stage-04-data	health
DRIFT.1	stage-03-runtime	health
DRIFT.2	stage-03-runtime	health
DRIFT.3	stage-03-runtime	health
DSK.1	stage-01-host	health
DSK.2	stage-01-host	health
FT.1	stage-10-utility	health
FT.2	stage-10-utility	health
FT.3	stage-10-utility	health
FT.4	stage-10-utility	health
FT.5	stage-10-utility	health
FT.6	stage-10-utility	health
GD.1	stage-11-vps	health
GT.1	stage-04-data	signal
GT.2	stage-04-data	signal
GT.3	stage-04-data	signal
HK.1	stage-03-runtime	health
HK.2	stage-03-runtime	health
HK.3	stage-03-runtime	health
HK.4	stage-03-runtime	health
HK.5	stage-03-runtime	health
HK.6	stage-03-runtime	health
HK.7	stage-03-runtime	health
HK.8	stage-03-runtime	health
HK.9	stage-03-runtime	health
HOST.1	stage-01-host	health
HOST.10	stage-01-host	health
HOST.2	stage-01-host	health
HOST.3	stage-01-host	health
HOST.4	stage-01-host	health
HOST.5	stage-01-host	health
HOST.6	stage-01-host	health
HOST.7	stage-01-host	health
HOST.8	stage-01-host	health
HOST.9	stage-01-host	health
IN.1	stage-05-intake	health
IN.2	stage-05-intake	health
IN.3	stage-05-intake	health
KS.1	stage-09-safety	health
KS.2	stage-09-safety	health
KS.3	stage-09-safety	health
KS.4	stage-09-safety	health
KS.5	stage-09-safety	health
LOG.1	stage-08-routines	health
LOG.2	stage-08-routines	health
LOG.3	stage-08-routines	health
LOG.4	stage-08-routines	health
MON.1	stage-09-safety	health
MON.2	stage-09-safety	health
MON.3	stage-09-safety	health
MON.4	stage-09-safety	health
MON.5	stage-09-safety	health
PRV.1	stage-04-data	health
PRV.2	stage-04-data	health
PRV.3	stage-04-data	health
QR.1	stage-07-quarantine	health
QR.10	stage-07-quarantine	health
QR.2	stage-07-quarantine	health
QR.3	stage-07-quarantine	health
QR.4	stage-07-quarantine	health
QR.5	stage-07-quarantine	health
QR.6	stage-07-quarantine	health
QR.7	stage-07-quarantine	health
QR.8	stage-07-quarantine	health
QR.9	stage-07-quarantine	health
RB.1	stage-06-backup	health
RB.2	stage-06-backup	health
RB.3	stage-06-backup	health
RB.4	stage-06-backup	health
RB.5	stage-06-backup	health
RB.6	stage-06-backup	health
RB.7	stage-06-backup	health
RB0.1	stage-11-vps	health
RB0.2	stage-11-vps	health
RB0.3	stage-11-vps	health
RB0.4	stage-11-vps	health
RB0.5	stage-11-vps	health
RC.1	stage-11-vps	health
RC.5	stage-11-vps	health
RC.6	stage-11-vps	health
RT.1	stage-03-runtime	health
RT.10	stage-03-runtime	health
RT.11	stage-03-runtime	health
RT.12	stage-03-runtime	health
RT.2	stage-03-runtime	health
RT.3	stage-03-runtime	health
RT.4	stage-03-runtime	health
RT.5	stage-03-runtime	health
RT.6	stage-03-runtime	health
RT.7	stage-03-runtime	health
RT.8	stage-03-runtime	health
RT.9	stage-03-runtime	health
RUN.1	stage-08-routines	health
RUN.2	stage-08-routines	health
RUN.3	stage-08-routines	health
RUN.4	stage-08-routines	health
RUN.5	stage-08-routines	health
RUN.6	stage-08-routines	health
RUN.7	stage-08-routines	health
RUN.8	stage-08-routines	health
